ID;ID-ELEMENTO 01;ELEMENTO 01;ID-ELEMENTO 02;ELEMENTO 02;ID-ELEMENTO 03;ELEMENTO 03;ID-ELEMENTO 04;ELEMENTO 04;ID-ELEMENTO 05;ELEMENTO 05;DISCIPLINA 01;DISCIPLINA 02;DISCIPLINA 03;DISCIPLINA 04;DISCIPLINA 05;DISCIPLINA 06;DISCIPLINA 07;STATUS;EMPREENDIMENTO;RESPONSÁVEL;FASE;TIPO;LOCAL;PRAZO;PRIORIDADE;PRIMEIRA ALTERAÇÃO;ÚLTIMA ALTERAÇÃO;MARCADOR 01;MARCADOR 02;MARCADOR 03
1;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;07-02-2022;NORMAL;08/02/2022;18/08/2022;I;;
2;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;07-02-2022;NORMAL;08/02/2022;22/08/2022;I;;
3;9604;Shaft/Coluna falsa;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;07-02-2022;CRÍTICO;08/02/2022;18/08/2022;I;;
4;3500;Laje;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Inconsistência Técnica;Pavimento Tipo;07-02-2022;NORMAL;08/02/2022;18/08/2022;I;;
5;8899;Elevador;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Coberta;07-02-2022;CRÍTICO;08/02/2022;18/08/2022;I;;
6;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
7;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Geral;08-02-2022;CRÍTICO;09/02/2022;22/08/2022;I;;
8;1700;Jardineira;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Coberta;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;;
9;4043;Alvenaria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Área comum;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
10;6638;Exaustão;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
